# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
校长,校長,xiào zhǎng,"principal (of a school)
headteacher
president (of a school or university)",高天：Anne，你看到校长发的邮件了吗？,高天：Anne，你看到校長發的郵件了嗎？,gāo tiān ： Anne ， nǐ kàn dào xiào zhǎng fā de yóu jiàn le ma ？,"Gao Tian: Anne, did you see the email that the president sent?"
感兴趣,感興趣,gǎn xìng qù,to be interested,你对音乐感兴趣吗,你對音樂感興趣嗎,nǐ duì yīn yuè gǎn xìng qù ma,Are You Interested in Music?
苹果,蘋果,píng guǒ,apple,Anne：大熊猫爱吃又甜又新鲜的苹果。,Anne：大熊貓愛吃又甜又新鮮的蘋果。,Anne ： dà xióng māo ài chī yòu tián yòu xīn xiān de píng guǒ 。,Anne: Giant pandas love to eat sweet and fresh apples.
动物园,動物園,dòng wù yuán,zoo,小北：动物园里也有小熊猫，就在前面。,小北：動物園裡也有小熊貓，就在前面。,xiǎo běi ： dòng wù yuán lǐ yě yǒu xiǎo xióng māo ， jiù zài qián miàn 。,"Xiaobei: The zoo also has red pandas, just ahead."
种,種,zhǒng,"kind
type
classifier for types, kinds, sorts",小北：不一样，它们不是一种动物。你看，这儿有小熊猫的照片。,小北：不一樣，牠們不是一種動物。你看，這兒有小熊貓的照片。,xiǎo běi ： bù yí yàng ， tā men bú shì yì zhǒng dòng wù 。 nǐ kàn ， zhè‘r yǒu xiǎo xióng māo de zhào piàn 。,"Xiaobei: Yes, they are different. They are not the same animal. Look, here’s a picture of a red panda."
动物,動物,dòng wù,animal,小北：不一样，它们不是一种动物。你看，这儿有小熊猫的照片。,小北：不一樣，牠們不是一種動物。你看，這兒有小熊貓的照片。,xiǎo běi ： bù yí yàng ， tā men bú shì yì zhǒng dòng wù 。 nǐ kàn ， zhè‘r yǒu xiǎo xióng māo de zhào piàn 。,"Xiaobei: Yes, they are different. They are not the same animal. Look, here’s a picture of a red panda."
照相,照相,zhào xiàng,to take a photograph,小北：我用我的手机给你们照相吧。,小北：我用我的手機給你們照相吧。,xiǎo běi ： wǒ yòng wǒ de shǒu jī gěi nǐ men zhào xiàng ba 。,Xiaobei: I’ll take a photo of you and the panda with my phone.
照相机,照相機,zhào xiàng jī,camera,Anne：用照相机吧，我的照相机在包里。可爱的小熊猫，你愿意和我一起照相吗？,Anne：用照相機吧，我的照相機在包裡。可愛的小熊貓，你願意和我一起照相嗎？,Anne ： yòng zhào xiàng jī ba ， wǒ de zhào xiàng jī zài bāo lǐ 。 kě ài de xiǎo xióng māo ， nǐ yuàn yì hé wǒ yì qǐ zhào xiàng ma ？,"Anne: Use my camera, my camera is in my bag. Cute little panda, would you like to take a photo with me?"
宝宝,寶寶,bǎo bao,"baby
darling",Anne：小北，你看，这只熊猫多么可爱！它只有一岁，是只熊猫宝宝。,Anne：小北，你看，這隻熊貓多麼可愛！它只有一歲，是隻熊貓寶寶。,Anne ： xiǎo běi ， nǐ kàn ， zhè zhī xióng māo duō me kě ài ！ tā zhǐ yǒu yí suì ， shì zhī xióng māo bǎo bao 。,"Anne: Xiaobei, look, this panda is so cute! It’s only one year old—it’s a panda cub."
可爱,可愛,kě ài,"cute
adorable
lovely",Anne：小北，你看，这只熊猫多么可爱！它只有一岁，是只熊猫宝宝。,Anne：小北，你看，這隻熊貓多麼可愛！它只有一歲，是隻熊貓寶寶。,Anne ： xiǎo běi ， nǐ kàn ， zhè zhī xióng māo duō me kě ài ！ tā zhǐ yǒu yí suì ， shì zhī xióng māo bǎo bao 。,"Anne: Xiaobei, look, this panda is so cute! It’s only one year old—it’s a panda cub."
椅子,椅子,yǐ zi,chair,Attendant：请再检查一下钱包里的东西。我们阿姨是在打扫椅子时发现这个钱包的。,Attendant：請再檢查一下錢包裡的東西。我們阿姨是在打掃椅子時發現這個錢包的。,Attendant ： qǐng zài jiǎn chá yí xià qián bāo lǐ de dōng xi 。 wǒ men ā yí shì zài dǎ sǎo yǐ zi shí fā xiàn zhè ge qián bāo de 。,Attendant: Please check the contents of the wallet again. Our cleaning lady found this wallet while cleaning the seats.
信用卡,信用卡,xìn yòng kǎ,credit card,Anne：里面有我的护照和信用卡，还有一些钱。,Anne：裡面有我的護照和信用卡，還有一些錢。,Anne ： lǐ miàn yǒu wǒ de hù zhào hé xìn yòng kǎ ， hái yǒu yì xiē qián 。,"Anne: There was my passport and credit card, and also some cash in it."
打扫,打掃,dǎ sǎo,"to clean
to sweep",Attendant：您的钱包是什么颜色的？我们阿姨在打扫影院时发现了一个钱包。,Attendant：您的錢包是什麼顏色的？我們阿姨在打掃影院時發現了一個錢包。,Attendant ： nín de qián bāo shì shén me yán sè de ？ wǒ men ā yí zài dǎ sǎo yǐng yuàn shí fā xiàn le yí ge qián bāo 。,Attendant: What color is your wallet? Our cleaning lady found a wallet while cleaning the movie theater.
卧室,臥室,wò shì,bedroom,丽丽：我的卧室在楼上，你可以把这几本英文书拿上去，拿到我的卧室里吗？,麗麗：我的臥室在樓上，你可以把這幾本英文書拿上去，拿到我的臥室裡嗎？,lì lì ： wǒ de wò shì zài lóu shàng ， nǐ kě yǐ bǎ zhè jǐ běn yīng wén shū ná shàng qù ， ná dào wǒ de wò shì lǐ ma ？,Lili: My bedroom is upstairs. Can you take these English books up to my bedroom?
厨房,廚房,chú fáng,kitchen,丽丽：我的厨房在楼下，你可以把杯子拿下去，拿到厨房里吗？,麗麗：我的廚房在樓下，你可以把杯子拿下去，拿到廚房裡嗎？,lì lì ： wǒ de chú fáng zài lóu xià ， nǐ kě yǐ bǎ bēi zi ná xià qù ， ná dào chú fáng lǐ ma ？,Lili: My kitchen is downstairs. Can you take the cup down to the kitchen?
盒子,盒子,hé zi,"case
box",丽丽：谢谢男朋友啦！先把所有的东西从快递盒子里拿出来吧！,麗麗：謝謝男朋友啦！先把所有的東西從快遞盒子裡拿出來吧！,lì lì ： xiè xie nán péng you la ！ xiān bǎ suǒ yǒu de dōng xi cóng kuài dì hé zi lǐ ná chu lai ba ！,"Lili: Thanks, boyfriend! First, take all of the stuff out of the delivery boxes!"
收拾,收拾,shōu shi,"to put in order
to tidy up",收拾快递,收拾快遞,shōu shi kuài dì,Organizing Packages
网站,網站,wǎng zhàn,website,中国有很多购物网站，比如淘宝、京东。,中國有很多購物網站，比如淘寶、京東。,zhōng guó yǒu hěn duō gòu wù wǎng zhàn ， bǐ rú táo bǎo 、 jīng dōng 。,"China has a lot of shopping sites, like Taobao and JD.com."
购物,購物,gòu wù,shopping,露西：真的吗？可以退货？太好了！其实，我在美国的时候，也经常在网上购物。,露西：真的嗎？可以退貨？太好了！其實，我在美國的時候，也經常在網上購物。,lù xī ： zhēn de ma ？ kě yǐ tuì huò ？ tài hǎo le ！ qí shí ， wǒ zài měi guó de shí hou ， yě jīng cháng zài wǎng shang gòu wù 。,"Lucy: Really? You can return them? Awesome! Honestly, when I was in the US, I often shopped online too."
想法,想法,xiǎng fǎ,"way of thinking
idea",本：我和你们的想法不一样。我觉得牌子，还有好不好看都不那么重要。,本：我和你們的想法不一樣。我覺得牌子，還有好不好看都不那麼重要。,běn ： wǒ hé nǐ men de xiǎng fǎ bù yí yàng 。 wǒ jué de pái zi ， hái yǒu hǎo bù hǎo kàn dōu bú nà me zhòng yào 。,Ben: I disagree. I think neither the brand nor whether or not it looks good are that important.
适合,適合,shì hé,"to fit
to suit",露西：也不是，要看这件衣服适不适合我。如果我穿不好看，那么我就不会买。,露西：也不是，要看這件衣服適不適合我。如果我穿不好看，那麼我就不會買。,lù xī ： yě bú shì ， yào kàn zhè jiàn yī fu shì bú shì hé wǒ 。 rú guǒ wǒ chuān bù hǎo kàn ， nà me wǒ jiù bú huì mǎi 。,"Lucy: Well, no, it depends whether the item fits me. If it doesn’t look good on me, then I won’t buy it."
流行,流行,liú xíng,"(of a style of clothing, song etc) popular
fashionable",女孩子的衣服一定要很漂亮！我买衣服的时候，喜欢买最流行的。,女孩子的衣服一定要很漂亮！我買衣服的時候，喜歡買最流行的。,nǚ hái zi de yī fu yí dìng yào hěn piào liang ！ wǒ mǎi yī fu de shí hou ， xǐ huan mǎi zuì liú xíng de 。,"Girls’ clothing definitely needs to be pretty! When I’m buying clothes, I like to buy the most fashionable items."
破,破,pò,"broken
damaged
worn out",小牌子的衣服虽然很便宜，但是质量不好，很容易破。,小牌子的衣服雖然很便宜，但是質量不好，很容易破。,xiǎo pái zi de yī fu suī rán hěn pián yi ， dàn shì zhì liàng bù hǎo ， hěn róng yì pò 。,"Although clothes from small brands are cheap, they are poor quality and wear out easily."
价格,價格,jià gé,price,丽丽：还是不要去看了。虽然裙子的价格不高，但是我没见过这个牌子。,麗麗：還是不要去看了。雖然裙子的價格不高，但是我沒見過這個牌子。,lì lì ： hái shi bú yào qù kàn le 。 suī rán qún zi de jià gé bù gāo ， dàn shì wǒ méi jiàn guò zhè ge pái zi 。,"Lili: Don’t bother looking. Although the prices of the dresses aren’t high, I have never seen this brand before."
牌子,牌子,pái zi,"brand
sign",露西：是什么牌子的？,露西：是什麼牌子的？,lù xī ： shì shén me pái zi de ？,Lucy: What brand are they?
打折,打折,dǎ zhé,to give a discount,本：这边就是。这里有很多裙子，而且正在打折，有的打八折，有的打五折。,本：這邊就是。這裡有很多裙子，而且正在打折，有的打八折，有的打五折。,běn ： zhè biān jiù shì 。 zhè lǐ yǒu hěn duō qún zi ， ér qiě zhèng zài dǎ zhé ， yǒu de dǎ bā zhé ， yǒu de dǎ wǔ zhé 。,"Ben: Here they are. There are a lot of dresses here, and they’re on sale. Some are 20% off, and some are 50% off."
减肥,減肥,jiǎn féi,to lose weight,小言：你不要减肥了吗？,小言：你不要減肥了嗎？,xiǎo yán ： nǐ bú yào jiǎn féi le ma ？,Little Yan: Aren’t you trying to lose weight?
美丽,美麗,měi lì,beautiful,还有，看美丽的风景也会让你们很放松。,還有，看美麗的風景也會讓你們很放鬆。,hái yǒu ， kàn měi lì de fēng jǐng yě huì ràng nǐ men hěn fàng sōng 。,"What’s more, seeing beautiful scenery will also make you feel very relaxed."
放松,放鬆,fàng sōng,to relax,我更喜欢丽丽的想法，周末去健身房做瑜伽会让我很放松。,我更喜歡麗麗的想法，週末去健身房做瑜伽會讓我很放鬆。,wǒ gèng xǐ huan lì lì de xiǎng fǎ ， zhōu mò qù jiàn shēn fáng zuò yú jiā huì ràng wǒ hěn fàng sōng 。,I like Lili’s idea more; going to the gym this weekend to do yoga would make me very relaxed.
左右,左右,zuǒ yòu,"nearby
approximately",本：对啊！我在美国的时候，一个月至少爬一次山，一年露营四次左右。,本：對啊！我在美國的時候，一個月至少爬一次山，一年露營四次左右。,běn ： duì a ！ wǒ zài měi guó de shí hou ， yí ge yuè zhì shǎo pá yí cì shān ， yì nián lù yíng sì cì zuǒ yòu 。,"Ben: Yeah! When I was in the US, I would go hiking at least once a month and go camping around four times per year."
至少,至少,zhì shǎo,"at least
(to say the) least",本：对啊！我在美国的时候，一个月至少爬一次山，一年露营四次左右。,本：對啊！我在美國的時候，一個月至少爬一次山，一年露營四次左右。,běn ： duì a ！ wǒ zài měi guó de shí hou ， yí ge yuè zhì shǎo pá yí cì shān ， yì nián lù yíng sì cì zuǒ yòu 。,"Ben: Yeah! When I was in the US, I would go hiking at least once a month and go camping around four times per year."
无聊,無聊,wú liáo,"bored
boring",我觉得买东西很无聊，所以我现在很少逛街。我一年最多逛五次。,我覺得買東西很無聊，所以我現在很少逛街。我一年最多逛五次。,wǒ jué de mǎi dōng xi hěn wú liáo ， suǒ yǐ wǒ xiàn zài hěn shǎo guàng jiē 。 wǒ yì nián zuì duō guàng wǔ cì 。,"I think that buying stuff is boring, so I seldom go shopping. At most, I go shopping five times per year."
台湾,臺灣,tái wān,Taiwan,但是我不喜欢逛街买东西，我在台湾的时候，我妈妈总是让我和她去逛街。,但是我不喜歡逛街買東西，我在臺灣的時候，我媽媽總是讓我和她去逛街。,dàn shì wǒ bù xǐ huan guàng jiē mǎi dōng xi ， wǒ zài tái wān de shí hou ， wǒ mā ma zǒng shì ràng wǒ hé tā qù guàng jiē 。,"But I don’t like going shopping. When I was in Taiwan, my mom always made me go shopping with her."
卡拉,卡拉,kǎ lā,karaoke,小言：我喜欢去风景好的地方拍照片或者拍视频。我也喜欢唱卡拉OK。,小言：我喜歡去風景好的地方拍照片或者拍視頻。我也喜歡唱卡拉OK。,xiǎo yán ： wǒ xǐ huan qù fēng jǐng hǎo de dì fang pāi zhào piàn huò zhě pāi shì pín 。 wǒ yě xǐ huan chàng kǎ lā OK。,Little Yan: I like to go to places with nice scenery to take photos or videos. I also like to sing karaoke.
视频,視頻,shì pín,video,小言：我喜欢去风景好的地方拍照片或者拍视频。我也喜欢唱卡拉OK。,小言：我喜歡去風景好的地方拍照片或者拍視頻。我也喜歡唱卡拉OK。,xiǎo yán ： wǒ xǐ huan qù fēng jǐng hǎo de dì fang pāi zhào piàn huò zhě pāi shì pín 。 wǒ yě xǐ huan chàng kǎ lā OK。,Little Yan: I like to go to places with nice scenery to take photos or videos. I also like to sing karaoke.
星期天,星期天,xīng qī tiān,Sunday,周末你们可以打电话给我吗？星期六或者星期天都可以。我爱你们。,週末你們可以打電話給我嗎？星期六或者星期天都可以。我愛你們。,zhōu mò nǐ men kě yǐ dǎ diàn huà gěi wǒ ma ？ xīng qī liù huò zhě xīng qī tiān dōu kě yǐ 。 wǒ ài nǐ men 。,Can you call me over the weekend? Either Saturday or Sunday is fine. I love you both!
衬衫,襯衫,chèn shān,"shirt
blouse",小北说我的衬衫不是蓝色就是白色，他觉得我一定会喜欢这两个颜色。,小北說我的襯衫不是藍色就是白色，他覺得我一定會喜歡這兩個顏色。,xiǎo běi shuō wǒ de chèn shān bú shì lán sè jiù shì bái sè ， tā jué de wǒ yí dìng huì xǐ huan zhè liǎng ge yán sè 。,Xiaobei said my shirts are either blue or white. He thinks I’ll definitely like those two colors.
婚礼,婚禮,hūn lǐ,"wedding ceremony
wedding",小北跟爸爸妈妈去香港参加了哥哥的婚礼。,小北跟爸爸媽媽去香港參加了哥哥的婚禮。,xiǎo běi gēn bà ba mā ma qù xiāng gǎng cān jiā le gē ge de hūn lǐ 。,Xiaobei has gone to Hong Kong with his parents to attend his older brother’s wedding.
要是,要是,yào shi,"if
in case",我一看到他们就想到了你们，我记得妈妈以前也爱跳舞。要是你们来这儿，应该会喜欢这儿。,我一看到他們就想到了你們，我記得媽媽以前也愛跳舞。要是你們來這兒，應該會喜歡這兒。,wǒ yí kàn dào tā men jiù xiǎng dào le nǐ men ， wǒ jì de mā ma yǐ qián yě ài tiào wǔ 。 yào shi nǐ men lái zhè‘r ， yīng gāi huì xǐ huan zhè‘r 。,"Whenever I see them, I think of you. I remember Mom used to love dancing too. If you came here, you’d probably like it."
想到,想到,xiǎng dào,"to think of
to call to mind
to anticipate",我一看到他们就想到了你们，我记得妈妈以前也爱跳舞。要是你们来这儿，应该会喜欢这儿。,我一看到他們就想到了你們，我記得媽媽以前也愛跳舞。要是你們來這兒，應該會喜歡這兒。,wǒ yí kàn dào tā men jiù xiǎng dào le nǐ men ， wǒ jì de mā ma yǐ qián yě ài tiào wǔ 。 yào shi nǐ men lái zhè‘r ， yīng gāi huì xǐ huan zhè‘r 。,"Whenever I see them, I think of you. I remember Mom used to love dancing too. If you came here, you’d probably like it."
锻炼,鍛鍊,duàn liàn,"to engage in physical exercise
to work out",每天都有很多老人在公园里锻炼身体。他们一边跳舞一边听音乐。,每天都有很多老人在公園裡鍛鍊身體。他們一邊跳舞一邊聽音樂。,měi tiān dōu yǒu hěn duō lǎo rén zài gōng yuán lǐ duàn liàn shēn tǐ 。 tā men yì biān tiào wǔ yì biān tīng yīn yuè 。,"Every day, many old people exercise in the park. They dance while listening to music."
草,草,cǎo,"grass
straw
herb",春天来了。公园里的花开了，树和草都绿了，,春天來了。公園裡的花開了，樹和草都綠了，,chūn tiān lái le 。 gōng yuán lǐ de huā kāi le ， shù hé cǎo dōu lǜ le ，,"Spring has arrived. The flowers in the park have bloomed, and the trees and grass have turned green."
词典,詞典,cí diǎn,"dictionary
lexicon",高天：我来还故事书，再借一本中文词典。你吃饭了吗？我们去吃饭吧，我饿了。,高天：我來還故事書，再借一本中文詞典。你吃飯了嗎？我們去吃飯吧，我餓了。,gāo tiān ： wǒ lái huán gù shi shū ， zài jiè yì běn zhōng wén cí diǎn 。 nǐ chī fàn le ma ？ wǒ men qù chī fàn ba ， wǒ è le 。,Gao Tian: I came to return a storybook and then borrow a Chinese dictionary. Have you eaten? Let’s go eat. I’m hungry.
借,借,jiè,"to lend
to borrow",高天：你已经看了很久了。你来图书馆借书还是还书？,高天：你已經看了很久了。你來圖書館借書還是還書？,gāo tiān ： nǐ yǐ jīng kàn le hěn jiǔ le 。 nǐ lái tú shū guǎn jiè shū hái shi huán shū ？,Gao Tian: You’ve been looking for quite a while. Did you come to the library to borrow books or return books?
经理,經理,jīng lǐ,"manager
director",Anne：小北说，他是银行的经理。小北的哥哥在银行工作。,Anne：小北說，他是銀行的經理。小北的哥哥在銀行工作。,Anne ： xiǎo běi shuō ， tā shì yín háng de jīng lǐ 。 xiǎo běi de gē ge zài yín háng gōng zuò 。,Anne: Xiaobei said that he’s a bank manager. Xiaobei’s older brother works at a bank.
皮鞋,皮鞋,pí xié,leather shoes,高天：站在小北右边的这个穿蓝色衬衫、白色裤子和黑色皮鞋的人是谁？,高天：站在小北右邊的這個穿藍色襯衫、白色褲子和黑色皮鞋的人是誰？,gāo tiān ： zhàn zài xiǎo běi yòu bian de zhè ge chuān lán sè chèn shān 、 bái sè kù zi hé hēi sè pí xié de rén shì shéi ？,"Gao Tian: Who is the person standing to the right of Xiaobei, wearing a blue shirt, white pants, and black leather shoes?"
个子,個子,gè zi,"height
stature
build",他的个子真高,他的個子真高,tā de gè zi zhēn gāo,He’s Really Tall
同意,同意,tóng yì,"to agree
to consent
to approve",小北：已经请假了，只有五天，学校已经同意了。五天以后我就回来了。,小北：已經請假了，只有五天，學校已經同意了。五天以後我就回來了。,xiǎo běi ： yǐ jīng qǐng jià le ， zhǐ yǒu wǔ tiān ， xué xiào yǐ jīng tóng yì le 。 wǔ tiān yǐ hòu wǒ jiù huí lái le 。,"Xiaobei: I’ve already taken leave; it’s just five days, and the school has agreed. I’ll be back in five days."
帽子,帽子,mào zi,"hat
cap",小北：行李箱里有我的衬衫、裤子、皮鞋和帽子，,小北：行李箱裡有我的襯衫、褲子、皮鞋和帽子，,xiǎo běi ： xíng li xiāng lǐ yǒu wǒ de chèn shān 、 kù zi 、 pí xié hé mào zi ，,"Xiaobei: In the suitcase are my shirts, pants, leather shoes, and hat, .."
筷子,筷子,kuài zi,chopsticks,Anne：桌上没有筷子和盘子，我请服务员拿一下。,Anne：桌上沒有筷子和盤子，我請服務員拿一下。,Anne ： zhuō shang méi yǒu kuài zi hé pán zi ， wǒ qǐng fú wù yuán ná yí xià 。,Anne: There are no chopsticks and plates on the table. I’ll ask the waiter to bring some.
早睡早起,早睡早起,zǎo shuì zǎo qǐ,"early to bed, early to rise
to keep early hours",Anne：还要早睡早起，晚上十一点以前睡觉，早上七点以前起床。,Anne：還要早睡早起，晚上十一點以前睡覺，早上七點以前起床。,Anne ： hái yào zǎo shuì zǎo qǐ ， wǎn shang shí yī diǎn yǐ qián shuì jiào ， zǎo shang qī diǎn yǐ qián qǐ chuáng 。,Anne: You should also go to bed early and get up early—go to bed before eleven at night and get up before seven in the morning.
健康,健康,jiàn kāng,health,Anne：这会影响健康的。快把游戏放一放，去外面走一走吧。,Anne：這會影響健康的。快把遊戲放一放，去外面走一走吧。,Anne ： zhè huì yǐng xiǎng jiàn kāng de 。 kuài bǎ yóu xì fàng yí fàng ， qù wài miàn zǒu yì zǒu ba 。,Anne: That’s bad for your health. Put the games aside for a while and go take a walk outside.
影响,影響,yǐng xiǎng,"to have an effect on
to influence
to affect",Anne：这会影响健康的。快把游戏放一放，去外面走一走吧。,Anne：這會影響健康的。快把遊戲放一放，去外面走一走吧。,Anne ： zhè huì yǐng xiǎng jiàn kāng de 。 kuài bǎ yóu xì fàng yí fàng ， qù wài miàn zǒu yì zǒu ba 。,Anne: That’s bad for your health. Put the games aside for a while and go take a walk outside.
碗,碗,wǎn,"bowl
cup",高天：我不看菜单了，你决定吧。米饭就来两碗，一人一碗。,高天：我不看菜單了，你決定吧。米飯就來兩碗，一人一碗。,gāo tiān ： wǒ bú kàn cài dān le ， nǐ jué dìng ba 。 mǐ fàn jiù lái liǎng wǎn ， yì rén yì wǎn 。,"Gao Tian: I won’t look at the menu. You decide. Let’s have two bowls of rice, one for each of us."
读,讀,dú,"to attend (school)
to study (a subject in school)",张老师：他读完大学了吧？现在在哪儿工作？,張老師：他讀完大學了吧？現在在哪兒工作？,zhāng lǎo shī ： tā dú wán dà xué le ba ？ xiàn zài zài nǎ'r gōng zuò ？,"Teacher Zhang: He graduated from college, right? Where is he working now?"
体育,體育,tǐ yù,"sports
physical education",李小北：他大学的体育也很好，一直爱运动，现在已经不瘦了。,李小北：他大學的體育也很好，一直愛運動，現在已經不瘦了。,lǐ xiǎo běi ： tā dà xué de tǐ yù yě hěn hǎo ， yì zhí ài yùn dòng ， xiàn zài yǐ jīng bú shòu le 。,"Li Xiaobei: He was also good at sports in college. He’s always loved exercising, and he’s not thin anymore."
踢,踢,tī,"to kick
to play (e.g. football)",下课以后不是打篮球，就是踢足球。,下課以後不是打籃球，就是踢足球。,xià kè yǐ hòu bú shì dǎ lán qiú ， jiù shì tī zú qiú 。,"After class, if he wasn’t playing basketball, he was playing soccer."
就是,就是,jiù shì,"used in the construction 不是A，就是B
if not A, then B
either A or B",下课以后不是打篮球，就是踢足球。,下課以後不是打籃球，就是踢足球。,xià kè yǐ hòu bú shì dǎ lán qiú ， jiù shì tī zú qiú 。,"After class, if he wasn’t playing basketball, he was playing soccer."
教,教,jiāo,to teach,李小北：您好！请问，您是教历史的……张老师吗？,李小北：您好！請問，您是教歷史的……張老師嗎？,lǐ xiǎo běi ： nín hǎo ！ qǐng wèn ， nín shì jiāo lì shǐ de … … zhāng lǎo shī ma ？,"Li Xiaobei: Hello! Excuse me, are you the history teacher … Teacher Zhang?"
汉字,漢字,hàn zì,Chinese character,你觉得这些汉字有意思吗？,你覺得這些漢字有意思嗎？,nǐ jué de zhè xiē hàn zì yǒu yì si ma ？,Do you find these Chinese characters interesting?
走路,走路,zǒu lù,"to walk
to go on foot",这个人在做什么呢？他走路走累了，在树下休息呢。,這個人在做什麼呢？他走路走累了，在樹下休息呢。,zhè ge rén zài zuò shén me ne ？ tā zǒu lù zǒu lèi le ， zài shù xià xiū xi ne 。,What is this person doing? He got tired from walking and is resting under the tree.
有关,有關,yǒu guān,"to have sth to do with
to relate to
to concern",“从”和“众”这两个字和“人”有关。,“從”和“眾”這兩個字和“人”有關。,“ cóng ” hé “ zhòng ” zhè liǎng ge zì hé “ rén ” yǒu guān 。,The characters “从” and “众” are related to “人”.
一年四季,一年四季,yì nián sì jì,all year round,小北：公园里一年四季都很漂亮。你看，那儿有很多老人在跳舞。,小北：公園裡一年四季都很漂亮。你看，那兒有很多老人在跳舞。,xiǎo běi ： gōng yuán lǐ yì nián sì jì dōu hěn piào liang 。 nǐ kàn ， nà'r yǒu hěn duō lǎo rén zài tiào wǔ 。,"Xiaobei: The park is beautiful all year round. Look, there are a lot of old people dancing over there."
